pwd,"Prints path of the working directory, starting from the root."
ls,"Displays file and directory names in working directory."
cd,"Used to change current working directory."
mkdir,"Allows user to create directories."
rmdir,"Used to remove empty directories from the filesystem."
rm,"Used to remove objects such as files, directories, symbolic links and so on from the file system."
cp,"Used to copy files, group of files or directory."
mv,"Used to move one or more files or directories from one place to another in file system."
ssh,"Protocol used to securely connect to a remote server/system."
scp,"Used to copy files between servers in a secure way."
man,"Displays the user manual of any command that can be run in the terminal."
g++,"Used for preprocessing, compilation, assembly and linking of source code to generate an executable file."
gcc,"Used to compile mainly C and C++ language."
make,"Compiles different program pieces and builds executable file."
ps,"Used to list the currently running processes and their PIDs."
kill,"Used to terminate processes manually."
top,"Provides a dynamic real-time view of the running system."
who,"Used to get information about currently logged in user on to system."
chmod,"Used to change the access mode of a file."
cat,"Reads data from file and gives their content as output. Helps to create, view, and concatenate files."
alias,"Instructs the shell to replace one string with another string while executing the commands."
chown,"Used to change the file Owner or group."
df,"Used to display information related to file systems about total space and available space."
grep,"Searches a file for a particular pattern of characters, and displays all lines that contain that pattern."
echo,"Used to display the line of text/string that are passed as an argument."
exit,"Used to exit the shell where it is currently running."
clear,"Used to clear the terminal screen."
find,"Used to find files and directories and perform subsequent operations on them."
finger,"A user information lookup command which gives details of all the users logged in."
free,"Displays the total amount of free space available along with the amount of memory used and swap memory in the system, and also the buffers used by the kernel."
